file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,190,css,b107a7a4,hasaam303,2025-10-27,15:51:50,-07:00,2025-10-27T15:51:50-07:00,0,15
style.css,191,css,b107a7a4,hasaam303,2025-10-27,15:51:50,-07:00,2025-10-27T15:51:50-07:00,1,20
style.css,192,css,b107a7a4,hasaam303,2025-10-27,15:51:50,-07:00,2025-10-27T15:51:50-07:00,1,9
style.css,193,css,b107a7a4,hasaam303,2025-10-27,15:51:50,-07:00,2025-10-27T15:51:50-07:00,1,10
style.css,194,css,b107a7a4,hasaam303,2025-10-27,15:51:50,-07:00,2025-10-27T15:51:50-07:00,1,23
style.css,195,css,b107a7a4,hasaam303,2025-10-27,15:51:50,-07:00,2025-10-27T15:51:50-07:00,1,46
style.css,196,css,b107a7a4,hasaam303,2025-10-27,15:51:50,-07:00,2025-10-27T15:51:50-07:00,1,13
style.css,197,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,0
style.css,198,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,0
style.css,199,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,37
style.css,200,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,10
style.css,201,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,12
style.css,202,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,40
style.css,203,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,59
style.css,204,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,22
style.css,205,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,0
style.css,206,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,0
style.css,207,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,51
style.css,208,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,14
style.css,209,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,62
style.css,210,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,15
style.css,211,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,11
style.css,212,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,16
style.css,213,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,0
style.css,214,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,0
style.css,215,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,39
style.css,216,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,9
style.css,217,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,73
style.css,218,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,57
style.css,219,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,0
style.css,220,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,0
style.css,221,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,37
style.css,222,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,0,25
style.css,223,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,36
style.css,224,css,5abf2066,hasaam303,2025-10-27,16:00:51,-07:00,2025-10-27T16:00:51-07:00,1,45
style.css,225,css,440902c6,hasaam303,2025-10-31,17:35:31,-07:00,2025-10-31T17:35:31-07:00,0,0
style.css,226,css,440902c6,hasaam303,2025-10-31,17:35:31,-07:00,2025-10-31T17:35:31-07:00,0,19
